类型,航班起始日期,航班截止日期,班期,航班号,出发站,到达站,STD,STA,ETD,ETA,机型,机号,dd_flag,飞机,机组,乘务,apt_access,VIP,重点航班,rpl_remark,固定衔接环,专项整治,放区,release_seat,alarm_flag,flt_task,航班类型,调整原因,备注,状态,issue_flag,scen_name,bill_no
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1357,PEK,SZX,2025/6/23 15:00,2025/6/23 18:25,2025/6/23 15:00,2025/6/23 18:25,359,B32F0,0,本部,本部,本部,n,0,,"换飞机,",0,,京,DM B-7,0,正班,国内,公司计划,为保障CA911衔接，航班调整,作废,预案,PEK-B-liuxiaolei-2025-06-23-0915,154189408
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1357,PEK,SZX,2025/6/23 15:00,2025/6/23 18:25,2025/6/23 15:00,2025/6/23 18:25,359,B32F0,0,本部,本部,本部,n,0,,"换飞机,",0,,京,DM B-7,0,正班,国内,,,拟制,预案,PEK-A-gaopeng-2025-06-23-0929,154189481
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1358,SZX,PEK,2025/6/23 20:00,2025/6/23 23:15,2025/6/23 20:00,2025/6/23 23:15,359,B32F0,0,本部,本部,本部,n,0,,"换飞机,",0,,蓉,DM C-5,0,正班,国内,,,拟制,预案,PEK-A-gaopeng-2025-06-23-0929,154189481
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1358,SZX,PEK,2025/6/23 20:00,2025/6/23 23:15,2025/6/23 20:00,2025/6/23 23:15,359,B32F0,0,本部,本部,本部,n,0,,"换飞机,",0,,蓉,DM C-5,0,正班,国内,,航班计划进入72小时运控权限，航班计划衔接原因，进行调整。,拟制,方案,PEK-A-gaopeng-2025-06-23-0934,154189538
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1358,SZX,PEK,2025/6/23 20:00,2025/6/23 23:15,2025/6/23 20:00,2025/6/23 23:15,359,B32F0,0,本部,本部,本部,n,0,,"换飞机,",0,,蓉,DM C-5,0,正班,国内,公司计划,为保障CA911衔接，航班调整,作废,预案,PEK-B-liuxiaolei-2025-06-23-0915,154189408
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1362,HAK,PEK,2025/6/23 13:15,2025/6/23 17:00,2025/6/23 13:15,2025/6/23 17:00,32A,B6385,0,本部,本部,本部,n,0,,"时刻,",0,,蓉,DM C-5,0,正班,国内,天气原因,因华东、华南航路雷雨流控，航班推时,拟制,方案,PEK-E-huozihe-2025-06-23-1040,154218627
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1365,PEK,CAN,2025/6/23 16:00,2025/6/23 19:25,2025/6/23 16:00,2025/6/23 19:25,789,B7800,0,本部,本部,本部,n,0,,"时刻,",0,,京,DM B-7,0,正班,国内,军事活动,因第三方用户活动，航班预战术调时。,拟制,方案,PEK-A-tianlei-2025-06-23-0811,154212284
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1366,CAN,PEK,2025/6/23 20:40,2025/6/23 23:55,2025/6/23 20:40,2025/6/23 23:55,789,B7800,0,本部,本部,本部,n,0,,"时刻,",0,,蓉,DM C-6,0,正班,国内,军事活动,因第三方用户活动，航班预战术调时。,拟制,方案,PEK-A-tianlei-2025-06-23-0811,154212284
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1385,PEK,CAN,2025/6/23 20:05,2025/6/23 23:20,2025/6/23 20:05,2025/6/23 23:20,32Q,B6633,0,广东,广东,广东,n,0,,"时刻,",0,,京,DM B-7,0,正班,国内,,,拟制,方案,PEK-N-caoyang-2025-06-23-0035,154207917
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1407,PEK,CTU,2025/6/23 16:45,2025/6/23 19:45,2025/6/23 16:45,2025/6/23 19:45,359,B32AS,0,本部,本部,本部,n,0,,"换飞机,",0,,京,DM B-5,0,正班,国内,,航班计划进入72小时运控权限，航班计划衔接原因，进行调整。,拟制,方案,PEK-A-tianlei-2025-06-23-0724,154211449
